user_id,report_id
5,1
5,2
5,3
5,6
5,7
5,8
5,9
5,10
36,157
29,74
32,39
23,157
22,79
36,125
22,113
12,65
36,38
14,119
26,47
25,107
37,20
21,82
15,78
8,108
38,14
25,136
27,113
14,14
17,90
6,77
21,157
20,111
13,61
32,67
15,68
7,4
17,43
19,138
13,15
33,33
36,45
39,76
33,57
13,86
14,5
23,90
17,66
11,115
14,30
25,27
24,30
37,84
29,96
31,9
30,151
19,136
30,29
11,79
33,2
20,116
11,110
20,100
14,92
11,67
10,114
21,138
8,5
38,38
16,140
18,122
15,14
15,50
32,103
12,32
15,146
27,100
34,49
14,82
40,13
37,21
17,125
14,79
9,18
6,65
39,83
12,139
34,119
31,58
19,81
16,111
31,58
28,152
9,34
24,132
36,119
20,124
12,58
31,132
22,145
9,40
38,134
27,141
36,41
21,61
14,95
28,86
33,35
8,36
30,70
24,122
27,74
33,1
24,7
38,99
24,139
11,92
6,110
22,62
23,123
27,25
14,103
20,84
39,122
26,112
14,55
37,150
31,64
16,160
31,33
7,90
37,62
6,30
13,152
23,153
19,54
24,37
35,46
15,66
10,61
11,120
34,29
31,45
11,125
11,119
13,92
33,92
36,51
22,83
33,73
37,19
8,32
31,153
25,111
9,159
32,136
9,148
10,76
23,145
17,22
31,1
17,80
10,31
13,56
35,157
16,130
18,85
7,75
17,93
35,118
13,130
20,75
16,110
30,71
13,146
24,112
25,46
12,64
22,20
18,159
15,111
27,79
14,49
14,91
6,73
33,128
21,129
18,40
12,145
26,36
28,132
37,80
18,75
35,122
24,37
35,92
13,51
37,34
28,94
31,20
17,147
12,28
13,32
33,31
33,75
17,33
37,52
11,72
6,129
